experiment_id,raw,calibrated
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4047,984
1,3405,829
1,2727,665
1,1847,453
1,1053,259
1,293,73
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,500,123
1,1108,273
1,1767,433
1,2315,565
1,2973,724
1,3176,774
1,3485,848
1,3238,789
1,3474,845
1,3623,882
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
1,4095,996
2,4095,1321
2,4095,1321
2,4095,1321
2,4095,1321
2,4095,1321
2,4095,1321
2,4095,1321
2,4095,1321
2,4095,1321
2,4095,1321
2,4095,1321
2,4095,1321
2,4095,1321
2,4095,1321
2,4095,1321
2,4095,1321
2,4095,1321
2,4095,1321
2,4095,1321
2,4095,1321
2,4095,1321
2,4095,1321
2,4095,1321
2,4095,1321
2,4095,1321
2,4095,1321
2,4095,1321
2,3821,1234
2,3478,1125
2,3427,1108
2,3417,1105
2,3422,1106
2,3402,1100
2,3144,1018
2,3001,972
2,2782,901
2,2552,829
2,2186,710
2,1855,603
2,1591,518
2,1317,430
2,1037,338
2,590,193
2,309,102
2,9,4
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,181,60
2,0,0
2,30,11
